,index,lat,lon,tags.name,tags.tourism,tags.website,tags.stars,tags.email,tags.phone,tags.addr:city,tags.addr:city:en,tags.addr:postcode,tags.addr:street:en,tags.addr:street:mk,tags.addr:housenumber,tags.smoking,tags.rooms,tags.internet_access,tags.internet_access:fee
213,1776,41.9939913,21.0276195,Петрол Компани,hotel,,5,,+38944378100,Tetovo,Тетово,1200,,,,isolated,,yes,yes
214,1777,42.0078524,20.9793686,Dare promet Helios,apartment,,2,,,Tetovo,Тетово,1200,,,,isolated,,yes,no
215,1778,42.005877,20.9692186,Aka Boja Helios,apartment,,2,,,Tetovo,Тетово,1200,,,,outside,,yes,yes
216,1779,42.0117514,20.9698559,Standox 2000 Helios,apartment,,4,,,Tetovo,Тетово,1200,,,,separated,,no,no
217,1780,42.0101572,20.9617237,tepisoni,apartment,,1,,,Tetovo,Тетово,1200,,,,separated,,yes,no
218,1782,41.1781482,20.6785228,Хотел Београд,hotel,,3,,,Struga,Струга,6330,,,Kej 8-mi noemvri,outside,,yes,yes
219,1783,41.178763,20.6791191,Vila Perla,hotel,,3,,,Struga,Струга,6330,,,,outside,,yes,yes
220,1784,41.179539,20.6790775,Hotel Arti,hotel,,4,,,Struga,Струга,6330,,,,isolated,,yes,yes
221,1785,41.1789398,20.6781683,Jovanoski Apartments,guest_house,,3,,,Struga,Струга,6330,,,,isolated,,yes,no
222,1786,41.1746819,20.6721254,Marko apartments,apartment,,3,,,Struga,Струга,6330,,,,outside,,yes,no
223,1787,41.1789002,20.6781903,jovanoski apartment,apartment,,4,,,Struga,Струга,6330,,,,separated,,yes,no
224,1788,41.1741883,20.6712235,EXCLUSIVE Apartments Struga,apartment,,2,,,Struga,Струга,6330,,,,outside,,yes,no
225,1791,41.1775853,20.675587,Freya,hotel,,4,,,Struga,Струга,6330,,,,isolated,,no,no
226,1792,41.1774983,20.6768676,Villa Albi,apartment,,2,,,Struga,Струга,6330,,,,outside,,yes,yes
